pattern,unique_membership_queries,membership_queries,equivalence_queries
((((b*)|(b*))((b|(b|(b|b)))|ε))|ε),73,73,2
(((b*)|(((ab)|(ab))*))|ε),102,102,2
(((b*)|((((a|ε)(b|ε))|(aa))*))|ε),202,202,3
(((b*)((b|a)(a((aa)|ε))))*),185,185,2
(b((b(a*))|ε)),33,33,1
(((a|ε)(a(a|ε)))*),35,35,1
(b|a),77,77,2
(b((b|(b|(a*)))a)),33,33,1
((((a|((a|b)*))|ε)a)|ε),35,35,1
((b|(a|(((a|ε)(ba))|(ab))))|ε),102,102,2
(((b(b|ε))*)(b|ε)),87,87,2
(b((a|a)*)),80,80,2
(((ba)|((a|(((a*)(b*))*))*))|ε),33,33,1
(((((a*)|(b*))|ε)((a|ε)b))*),104,104,2
(((b*)(a|ε))*),35,35,1
(((b|ε)((ab)*))|ε),87,87,2
(b(b(b|(b|a)))),33,33,1
(((b*)(b(b*)))*),35,35,1
((b|(b*)|((bb)*))|ε),35,35,1
((b|ε)(b(((b*)((b|b)|ε))*))),33,33,1
(((a|ε)(b(a|b)))*),35,35,1
((b|((a|b)*))|ε),33,33,1
(b((b|ε)((b|(a|b))*))),162,162,3
((((b|ε)((a|ε)a))*)a),76,76,2
((b|(b|(a|(b|a))))*),33,33,1
(((b|(a|(b|a)))(a*))|ε),76,76,2
(b((b|ε)((b|(b|a))*))),162,162,3
((((a|(a*))|ε)(b*))|ε),76,76,2
((b|(a|(b|(b|b))))|ε),77,77,2
(((b|(b|(a|(a|b))))b)|ε),33,33,1
(((a*)|((b|b)*)|(b*))|ε),163,163,3
((((a|(b|(a*)))*)(a*))|ε),33,33,1
(((a|ε)((b|b)(ab)))*),35,35,1
((a|ε)((a|ε)((a|ε)(b(b*))))),240,240,3
((((a|(b|(b*)))*)(a|ε))|ε),35,35,1
((b|ε)(b|(b|(a|a)))),33,33,1
(((b*)((b|a)((a|ε)(a|ε))))*),184,184,3
(((b|ε)((b|b)|ε))|ε),33,33,1
((((a|b)*)(a|ε))|ε),35,35,1
(b((b|ε)((a|ε)a))),33,33,1
((((b*)|((b|b)*))((a|a)|ε))|ε),76,76,2
(b((b|a)(b|(b|b)))),33,33,1
(b(((a|ε)a)*)),87,87,2
((((b*)|(b*))|ε)b),73,73,2
(b(a|(b|b))),33,33,1
(((ba)*)a),76,76,2
(((b|a)b)|ε),33,33,1
(((a|ε)((a|ε)(b*)))*),141,141,3
(((b|a)((((b|a)|ε)(b*))*))|ε),35,35,1
(((b*)|(b*)|(((a*)b)*))|ε),35,35,1
(((ba)|((b|(a|(b|(b|a))))*))|ε),33,33,1
(((((b*)a)|((a|b)*))b)|ε),35,35,1
((b|ε)(((b*)|(b*))*)),73,73,2
(b(((a*)(b(a*)))*)),278,278,4
(((b|(a|b))b)|ε),33,33,1
((a|ε)(((bb)|ε)(bb))),33,33,1
((((ab)*)a)|ε),76,76,2
((a|ε)((b|a)(a|ε))),33,33,1
(b((b|b)a)),33,33,1
(((b*)((b|b)((b|ε)a)))*),35,35,1
((a|ε)(((b*)|(a*))((b|ε)(b|ε)))),33,33,1
(((ba)|(a*)|(a*))|ε),107,107,2
(b((((a|ε)a)*)b)),33,33,1
(((a|b)*)(b|ε)),35,35,1
(((a(b|ε))|(((b*)|(b*))*))|ε),102,102,2
(((b|b)(b|(ba)))|ε),33,33,1
((b(a|(a|(a|b))))|ε),33,33,1
(b((b|a)(b|(a|b)))),33,33,1
(b(a(b|(b|(b|a))))),33,33,1
((a|ε)((a|ε)(a(b|ε)))),33,33,1
((((b|(a*))|ε)(a|ε))|ε),169,169,3
(((b|ε)((a(a*))*))|ε),80,80,2
((((a|(b|(b|(a*))))*)b)|ε),35,35,1
(((b|(b|(b|b)))((b|a)*))|ε),80,80,2
((b|(b|a))(((a|a)*)b)),33,33,1
(b((b|(b*))(b|ε))),33,33,1
(((((a|b)b)|ε)(ab))*),35,35,1
((b|ε)(b|(b|(a*)))),84,84,2
((a|ε)(b((a|b)((a|b)*)))),178,178,3
(((((a*)b)|(b*))(a|ε))|ε),204,204,3
(((ba)|((a|(b|(a|a)))*))|ε),33,33,1
(((b|(b|b))b)|ε),33,33,1
(((b|b)(a|(a*)))|ε),80,80,2
((((b(b(a*)))*)|(b*))|ε),143,143,2
((((a|(b|(b*)))*)a)|ε),35,35,1
(((a*)|(a*))((b|a)b)),33,33,1
((((a|ε)(bb))*)a),95,95,2
((a|ε)(b((a|b)(b|(a|a))))),33,33,1
((((a*)(b*))|(a*))|ε),76,76,2
(((b*)|(((ab)|((ba)|(a*)))*))|ε),235,235,3
((b(((b*)b)|ε))|ε),33,33,1
(((a|ε)(((a*)|((b|b)*))*))|ε),77,77,2
(((a|ε)((b*)((b|a)*)))*),80,80,2
((a|ε)((b|b)(((a*)|(a*))|ε))),33,33,1
(((a|(a|a))*)b),87,87,2
(((a*)|(((b*)b)*))((b|a)(a|a))),176,176,3
(((bb)*)(b*)),35,35,1
((b|ε)(b|(b|b))),33,33,1
(((a*)a)*),35,35,1
(((((a*)b)|(b*))a)|ε),204,204,3
((a|ε)((a|ε)((a|ε)(a(a*))))),33,33,1
(((b*)|(a*)|(a*))|ε),163,163,3
(b(((a|(b|b))|ε)(b*))),33,33,1
(b(b(((b((bb)|ε))|(ba))*))),33,33,1
(((ba)|((a|((bb)*))*))|ε),107,107,2
(b((b|ε)(a*))),33,33,1
((a*)(b*)),76,76,2
((b|(b|a))((b|ε)a)),33,33,1
(((a|(b|a))(a|b))|ε),33,33,1
(b(a(a|(b*)))),33,33,1
((b|ε)((b*)(bb))),33,33,1
(b((b|b)b)),33,33,1
((b|ε)(a((b|a)|ε))),33,33,1
(((b|(b|(b|(a|(b|a)))))a)|ε),33,33,1
((b|ε)((b*)a)),33,33,1
((b|(((b|ε)a)*))|ε),35,35,1
((((b|a)|ε)((b*)|(b*)))|ε),77,77,2
((b|(b|(b|(a|(b|b)))))|ε),77,77,2
((a|((b|ε)(b|ε)))|ε),76,76,2
((a|ε)((a|ε)((a|ε)(b(a*))))),33,33,1
((a*)a),76,76,2
(b((a|a)((a*)a))),33,33,1
((((a|(b|(b*)))*)(b|ε))|ε),35,35,1
(((b*)|(b*)|(((b*)|(a*))*))|ε),33,33,1
(((a*)|(((b*)(((a|ε)(b|ε))|ε))*))((b|ε)a)),168,168,2
(b(((a*)((b*)a))*)),161,161,3
(((((a*)b)|(a*))a)|ε),95,95,2
((b|(b|a))((b*)b)),33,33,1
(((b((b|b)|ε))*)a),76,76,2
(((((b*)a)|(a*))b)|ε),149,149,2
(((a|ε)((b*)(a(a|ε))))*),35,35,1
(((a|ε)(a(a*)))*),80,80,2
(((b|a)(((b|ε)(a*))*))|ε),80,80,2
((((a|a)b)|(bb))*),83,83,2
(((((b*)|((b(a|ε))*))|ε)((b|ε)a))*),89,89,2
(((((b*)|(b*))|ε)((ab)*))|ε),77,77,2
((((b|ε)(((b*)|(b*))a))*)b),176,176,3
(((b|(a|(b|a)))a)|ε),33,33,1
((a|ε)(b((a|b)(b|ε)))),33,33,1
(((b*)((b|b)(b((((b|b)|ε)b)|ε))))*),35,35,1
(((((a|b)b)|ε)(b(b*)))*),35,35,1
(b(((((a*)|(a*))b)|(a*))|ε)),84,84,2
(((b*)((b|a)(a((b|ε)a))))*),35,35,1
((b|ε)((b|ε)b)),33,33,1
(b((b|(b|b))(a|(b|a)))),33,33,1
((b|ε)(((b((b|a)*))|ε)a)),199,199,3
((a|(a(b*)))|ε),76,76,2
((a|ε)(((a|b)|ε)((b*)(b*)))),33,33,1
((b|(b*)|(a*)|(a*))|ε),163,163,3
(((b|(a|(b|a)))((ba)*))|ε),77,77,2
((b*)((b|b)((a|ε)((a|a)*)))),147,147,3
(((b|(a|(b*)))a)|ε),169,169,3
(((b|(b|(b|a)))(((b*)|(b*))|ε))|ε),77,77,2
(b((b|(b|b))(a|b))),33,33,1
(((ba)|(a*)|(b*))|ε),206,206,3
(((b*)((b|a)((b*)b)))*),102,102,2
((b(((b|a)*)|(a*)))|ε),80,80,2
(((b*)|(a*)|(b*))*),33,33,1
(((b|b)a)|ε),33,33,1
((((b|a)|ε)((a|a)|ε))|ε),33,33,1
(((a|ε)(b(bb)))*),35,35,1
((b((a(b*))|ε))|ε),33,33,1
(((a|ε)((b|b)*))|ε),76,76,2
((((b|ε)b)*)a),76,76,2
(b(a(a|(ab)))),33,33,1
((b*)((b|b)(b(b*)))),33,33,1
((b|((b|(a*))*))|ε),33,33,1
(b((b|(b|a))(a*))),33,33,1
((b|(((a|ε)b)*))|ε),77,77,2
(((a*)|((b|b)*)|(a*))|ε),163,163,3
(((((b*)|((ba)*))|ε)(((b|b)|ε)(a*)))*),77,77,2
(b|(((a|ε)(ab))*)),171,171,3
(((((b*)|(a*)|(a*))|ε)b)|ε),167,167,3
(((((a|b)b)|ε)(b(b(a|ε))))*),35,35,1
((a|ε)(((b*)|(a*))((b|ε)(a|ε)))),33,33,1
(((b|ε)((a*)((b|ε)a)))*),116,116,2
(b((b|(a*))a)),33,33,1
(((b*)(b(a*)))*),77,77,2
(b((b|(b|(a*)))b)),33,33,1
((((a|(a|a))*)(a|ε))|ε),76,76,2
(((b|ε)((a(b*))*))|ε),84,84,2
(b(((a*)((a*)a))*)),80,80,2
(((b*)((b|ε)(b*)))*),35,35,1
(((((b*)|(a*)|(a*))|ε)a)|ε),163,163,3
(((b|(b|b))(a|ε))|ε),33,33,1
(((b|(a|a))(a*))|ε),76,76,2
(((b*)(b((a|ε)a)))*),114,114,2
(((((b*)|(b*))|ε)((b*)|(b*)))|ε),35,35,1
(((a*)|((b|a)*))*),33,33,1
((a|(b|(b|b)))|ε),77,77,2
(b(a(((a*)|(a*))|ε))),33,33,1
(((a|ε)((a*)a))*),80,80,2
((b|ε)(((b(b*))|ε)(b|ε))),33,33,1
(b((b|(b|b))(((b|ε)(a|ε))|ε))),33,33,1
(b(a((a*)(aa)))),33,33,1
((a|(b|a))|ε),77,77,2
((((b*)|((b|b)*))(a|ε))|ε),76,76,2
(((b*)|((b|((a*)b))*))|ε),35,35,1
(((((a*)((b|b)*))|(a*))(a|ε))|ε),95,95,2
((((b*)|((b|(b|b))*))b)|ε),73,73,2
((b|(a|(((a|ε)(ab))|(a(a|ε)))))|ε),80,80,2
(((b|a)((b|(a|(a*)))|ε))|ε),181,181,3
((b*)((b|b)((a|ε)b))),33,33,1
((((a|ε)b)|(a*))*),82,82,2
(((b*)|(b*)|(((a|ε)(a|ε))*))|ε),96,96,2
(((b*)|(b*)|(((a*)(a|ε))*))|ε),163,163,3
((b|ε)(((ba)*)(b|ε))),33,33,1
(((b*)|((a|(b(bb)))*))|ε),219,219,3
(((b|a)((a(a|a))*))|ε),96,96,2
(((ba)|((a|((b(b|ε))*))*))|ε),107,107,2
(b((a|a)(a(b(b*))))),33,33,1
((b|(((b*)|(a*))*))|ε),33,33,1
((((b(b(b|ε)))*)|(b*))|ε),35,35,1
((a|ε)(((b*)|(a*))(aa))),33,33,1
(((((a*)b)|((a*)b))(b*))|ε),73,73,2
(((a*)((a|a)|ε))*),35,35,1
((((a|ε)(bb))*)(a*)),137,137,2
(b(a(b|ε))),33,33,1
(((b|(b|(b|a)))((a|b)|ε))|ε),33,33,1
(((a|ε)((a|b)*))|ε),77,77,2
((b|ε)((b|ε)(a|ε))),33,33,1
(((b*)|((a|(b(b(a*))))*))|ε),145,145,3
((a|ε)(b((a|b)(b|b)))),33,33,1
(((b*)|(b*)|(((a|ε)(b|ε))*))|ε),102,102,2
(((((b*)|((ba)*))|ε)((b*)(a|ε)))*),35,35,1
((a|ε)((b|(b|a))b)),33,33,1
(((ba)|((b|(b|a))*))|ε),33,33,1
(((((a|a)b)|ε)((a*)b))*),35,35,1
(b(a(a|b))),33,33,1
(((b|(a|(b|a)))(a|ε))|ε),33,33,1
(((b|(b|a))((b|a)*))|ε),35,35,1
(((((b*)|(b*))|ε)((b|(a*))*))|ε),33,33,1
(b(b((b|(b|a))*))),162,162,3
((b|ε)((((b|ε)b)|ε)b)),33,33,1
(((((a*)b)|((a*)b))(a*))|ε),80,80,2
(b((((b|(b|a))*)|(a*)|(b*))*)),80,80,2
(b(((b|a)|ε)(a*))),33,33,1
(((((b|a)(a|a))*)b)|ε),110,110,2
(((b|ε)((a|ε)a))*),35,35,1
(((a*)|(a*))((b|a)(a*))),95,95,2
(b((a|a)(a(b(a*))))),33,33,1
((b|ε)(b(((b*)((b|a)|ε))*))),162,162,3
((a*)(b|(a|a))),76,76,2
((a|(b|(b|(a|(b|b)))))|ε),77,77,2
(b((a|a)(a(bb)))),33,33,1
(((a*)|((b|b)*))*),33,33,1
((((b*)|(b*))((b|(b|(b|a)))|ε))|ε),77,77,2
((a|ε)(a(b|a))),33,33,1
((b|(b|a))(((a|b)*)b)),73,73,2
((((a|ε)(bb))*)(a|b)),77,77,2
((b*)((b|b)((b|ε)b))),33,33,1
((a|(b|(b|(b|a))))|ε),77,77,2
((b|ε)(((b*)|(a*))|ε)),169,169,3
(a|(a|(b|b))),77,77,2
((((b*)|((b|(b|a))*))(a*))|ε),33,33,1
(((a|(b|(a|b)))*)(a|ε)),35,35,1
((b|(a|(b|b)))|ε),77,77,2
(b((bb)*)),87,87,2
((a|ε)(a|ε)),33,33,1
(((b*)|(((ab)|((a|ε)b))*))|ε),102,102,2
(((a|ε)(ba))*),35,35,1
(b((b(b|a))*)),87,87,2
((((b|(a|(a|b)))|ε)(a|ε))|ε),33,33,1
((a|ε)(((b*)|(a*))(ba))),33,33,1
(b((a|(a|(a|b)))(b(b*)))),33,33,1
(((a|ε)(b((b*)b)))*),35,35,1
(((a*)((a*)(b(b*))))*),35,35,1
((b|ε)(a(b|b))),33,33,1
((((b*)|((b|(a|a))*))(b|ε))|ε),35,35,1
(((b|(b|(a|(a|a))))(a*))|ε),76,76,2
((b|((a|(a|(b|a)))*))|ε),33,33,1
(b(b((((b|ε)(b|ε))|(ab))*))),130,130,3
(((b*)(a((b|a)(a|a))))*),35,35,1
(((a|(a|a))*)(a|ε)),76,76,2
(((b|(a|(a*)|(a*)))b)|ε),77,77,2
(((b*)((b|b)(b(((a|ε)((a|a)*))|ε))))*),114,114,2
(((b|(a|b))a)|ε),33,33,1
((b|(a|(((a|ε)(ab))|(bb))))|ε),102,102,2
((a|((b|a)*))|ε),33,33,1
(((b*)|((a|(b|a))*))|ε),33,33,1
((b|ε)(b(((a*)(a|ε))*))),33,33,1
(((((a|b)|ε)(b|ε))*)b),110,110,2
(((a*)|(((b*)b)*))((b|a)(a|(a|b)))),114,114,2
((((b*)|(a*))(((b|ε)(b|a))*))|ε),198,198,3
(((b*)(a(b|ε)))*),176,176,3
((((bb)|ε)b)|ε),33,33,1
(b(a(a|(a*)|(a*)))),33,33,1
(((((b|a)(b|b))*)(b|ε))|ε),110,110,2
(a|(a|(b|(b|(b|a))))),77,77,2
((((a|(b*))|ε)(b|a))|ε),76,76,2
(b((a|ε)(ba))),33,33,1
((((a(bb))*)a)*),137,137,2
(((b|ε)((a*)((a*)a)))*),101,101,2
((b|ε)(((ba)|ε)a)),33,33,1
((b|ε)(b(a*))),33,33,1
(((b*)((b|a)((a*)b)))*),35,35,1
(((((b*)|((ab)*))|ε)((a*)(b|ε)))*),35,35,1
(((b*)((b|a)(a(ba))))*),35,35,1
(((a|ε)(((a|a)|ε)b))*),171,171,3
(((((a|b)b)|ε)(b(b(b|ε))))*),35,35,1
((b*)((a*)b)),90,90,2
(b(((b|a)*)a)),169,169,3
((a|ε)(((b*)|(a*))(a(b*)))),174,174,3
((b|ε)(b(b|ε))),33,33,1
(b((a(a(b|ε)))*)),87,87,2
(((b|ε)((a*)(a(ab))))*),35,35,1
(((b*)|((a|(b(aa)))*))|ε),130,130,2
(((b*)|((((a|ε)(b|ε))|((b|ε)b))*))|ε),102,102,2
(((b*)((b|a)(a(bb))))*),285,285,3
(((b*)|((a|(b(b(b*))))*))|ε),254,254,4
(((b|a)((a(a|(a|a)))*))|ε),96,96,2
((((a|b)|ε)(a*))|ε),76,76,2
((((a|b)|ε)(b*))|ε),77,77,2
((((b*)|(a*))(((b|ε)a)*))|ε),198,198,3
((((a|ε)(bb))*)(a|a)),95,95,2
((((b|ε)(bb))*)(b*)),35,35,1
((a|ε)(a(a|ε))),33,33,1
((((a|(a*))|ε)(b|a))|ε),76,76,2
(((a(b|ε))|(b((b*)b)))|ε),33,33,1
((b*)((b|b)(b(a*)))),154,154,3
((((b|ε)b)*)(a|ε)),76,76,2
(((b*)|(b*)|(((a|ε)(b*))*))|ε),146,146,3
(b((b|ε)((b|a)*))),162,162,3
(((b*)((b|b)(ab)))*),35,35,1
(((((a|a)a)|ε)(b(b*)))*),171,171,3
(((b*)((b|b)(a(a|ε))))*),114,114,2
((((a|(b|(a*)))*)(b*))|ε),33,33,1
(((a*)(b((b|ε)(ab))))*),35,35,1
((b|(((b|ε)(b|ε))*))|ε),35,35,1
((b|(((a|ε)(b|ε))*))|ε),77,77,2
(((b|(a|(a*)|(a*)))(b|ε))|ε),77,77,2
((a|((a|(b*))*))|ε),33,33,1
(((a*)|(a*))((b|a)(b|ε))),33,33,1
(((b(b(a|ε)))|(a*))|ε),35,35,1
(((a|ε)(((a*)|((b|a)*))*))|ε),77,77,2
((a|ε)(b(b|(a|a)))),33,33,1
((((b|ε)(b(b*)))*)a),76,76,2
(((b*)|(b*)|(((b|a)a)*))|ε),190,190,3
(((a|(b|a))|ε)(b(a*))),33,33,1
(((b|(a|(a(b|ε))))a)|ε),33,33,1
((((a|(b*))|ε)(b|b))|ε),173,173,3
((((a(bb))*)b)*),192,192,3
(((a|(b|a))|ε)(b(b|ε))),33,33,1
(b|(((b|ε)a)*)),35,35,1
(b(a(b|(b|(b|(a*)))))),33,33,1
((b|(b|(a|(a|a))))|ε),77,77,2
(a|(a|(b|(b|(b|b))))),77,77,2
(b(a((b|(b|(b|b)))|ε))),33,33,1
(((((b*)|((b(a|ε))*))|ε)((b|ε)(a*)))*),77,77,2
((((a|(b|(a|(b|a))))*)(a*))|ε),33,33,1
(((b|b)(b|(a*)|(b*)))|ε),169,169,3
((a|ε)((a|ε)((a|ε)(a(b*))))),33,33,1
(b(a(b*))),33,33,1
(((b*)((b|b)((b*)((a|a)|ε))))*),89,89,2
((a|ε)((b|ε)((a|ε)(a(ab))))),33,33,1
((a|ε)((((b(b*))*)|(a*))b)),33,33,1
((b|(b|a))((a*)((b|b)*))),76,76,2
((((a|(a((a|ε)(b*))))|ε)a)|ε),33,33,1
((((b*)|((b|b)*))(a*))|ε),76,76,2
(((b*)(b(((a|a)|ε)(b|(a|a)))))*),114,114,2
(b((b|(a|b))*)),80,80,2
(((a|ε)((b*)(a(b(b*)))))*),169,169,3
(b(b((a*)|(a*)))),33,33,1
(((b*)|(b*)|((bb)*))|ε),35,35,1
(((b|a)((a|a)*))|ε),76,76,2
((b|(b*)|((ba)*))|ε),35,35,1
(((b|b)(a|ε))|ε),33,33,1
(((((b*)|((b(a|ε))*))|ε)((b*)a))*),35,35,1
(b((b|(a*))*)),80,80,2
((((b*)|(b*))((a(a*))|ε))|ε),76,76,2
(b(((a*)(b(b*)))*)),170,170,3
((((b*)|(b*))(a*))|ε),76,76,2
((((((b|ε)(b|ε))*)|(a*))|ε)((a*)b)),133,133,2
((b*)((b|b)((a|ε)(b*)))),146,146,3
(b((b|(b|b))(((b|ε)(b|ε))|ε))),33,33,1
((b|ε)(((b|b)*)(a*))),84,84,2
(b(((a|ε)(b|a))*)),187,187,3
(((b(a|a))|(b*))|ε),35,35,1
(((b|(a|(a(b*))))a)|ε),33,33,1
((b|ε)(((b|ε)b)*)),87,87,2
(((b*)|((a|b)*)|(a*))|ε),33,33,1
(b((b|a)(b|(a|a)))),33,33,1
((((b|ε)(b(b*)))*)b),87,87,2
(b(((a|(b|b))|ε)(a*))),33,33,1
((((b|ε)(a*))*)a),161,161,3
((((a|a)b)|(a(a*)))*),82,82,2
(((((a|b)|ε)(b|ε))*)a),95,95,2
(((b*)((b|a)((a|a)a)))*),184,184,3
((((a|(a(a|a)))|ε)b)|ε),33,33,1
(((bb)*)(a|ε)),76,76,2
(((b|(b|(b|a)))(a*))|ε),76,76,2
(b((b*)(a((a|ε)a)))),33,33,1
((b|ε)((b|b)|ε)),33,33,1
(b((a|ε)(b*))),33,33,1
(((a|a)*)b),87,87,2
(((b*)((b|a)((a|a)(b*))))*),145,145,3
(((b*)(a(((b|b)*)b)))*),161,161,3
(((b*)|(((ab)|(aa))*))|ε),202,202,3
((a((a|ε)(b*)))*),141,141,3
(((((b*)|((ab)*))|ε)((a|ε)b))*),176,176,3
(((((a|b)*)(((a*)a)|ε))|(a*)|(a*))|ε),35,35,1
(((((a*)|(b*))|ε)((a|ε)(b*)))*),73,73,2
(((ba)|((b|(a|(a|a)))*))|ε),33,33,1
((a|ε)((a|ε)((a|ε)(b(b|ε))))),33,33,1
(b(b(b|(b*)))),33,33,1
(((ba)|((a|(a|b))*))|ε),33,33,1
(b((a|(a|(b|(a|b))))((b|ε)a))),33,33,1
(((b|a)((a|b)*))|ε),35,35,1
((a|ε)((b|b)((b|b)|ε))),33,33,1
((a((b|ε)a))*),35,35,1
(((((b|b)(a|a))*)(b*))|ε),35,35,1
((b|ε)(b(((a|ε)b)|ε))),33,33,1
(b((a|a)(a((b|ε)b)))),33,33,1
(((((b|b)(a|a))*)a)|ε),76,76,2
(((b*)|(b*)|(((a|ε)b)*))|ε),102,102,2
((a|ε)(b((a|b)|ε))),33,33,1
((a|((a|ε)a))|ε),80,80,2
((((b|ε)(b(a*)))*)a),198,198,3
(((b|(a|(b*)))(b|ε))|ε),173,173,3
(((b|(b|(b|(a*))))a)|ε),169,169,3
(((((b|(b|b))a)*)|(a*))|ε),107,107,2
(((bb)*)a),76,76,2
((((b*)|((b|(b|a))*))(b*))|ε),33,33,1
((b|(a|b))*),33,33,1
(((b*)|((((a|ε)(b|ε))|(b(a*)))*))|ε),153,153,3
((((a|(a*))|ε)(b|(b|b)))|ε),87,87,2
(b((b|(b|a))(b|ε))),33,33,1
(b((b*)((a|a)b))),33,33,1
(b((a|a)(b((b|ε)(b|ε))))),33,33,1
(((a*)|(((b*)(((a|ε)(b|ε))|ε))*))((b|ε)(a*))),224,224,3
(((((b*)|(b*))|ε)(b|b))|ε),73,73,2
((b|(b|(b|(b|(b|b)))))|ε),87,87,2
(((b*)((b|a)(((b|a)|ε)a)))*),146,146,2
((b*)(a(a|a))),147,147,3
((((a|ε)(a|ε))|(a*))*),35,35,1
(((b*)((b|b)(b(b|ε))))*),35,35,1
((b|ε)(((b*)a)*)),161,161,3
((a|ε)((((b(b*))*)|(b*))(b*))),76,76,2
((((a|a)((a*)((a|ε)b)))|(a*))|ε),35,35,1
(((b*)|((a|(b|(a|a)))*))|ε),33,33,1
((b|(b|a))((a*)((b|a)*))),35,35,1
((b(((b|a)*)|(b*)))|ε),80,80,2
((((b|(a*))|ε)(b|ε))|ε),77,77,2
(b((b(b*))|ε)),33,33,1
(b((b|(a|b))(a*))),33,33,1
(((a*)|(((b*)b)*))((b|a)(b|ε))),33,33,1
(((a|ε)(b((b|a)b)))*),35,35,1
(b((b|(b*))a)),33,33,1
((b|ε)(((b|a)*)b)),153,153,3
(((b(a|(b|a)))*)b),87,87,2
(b((b|(a|(b|a)))(b*))),33,33,1
((a|ε)(b(a(a|ε)))),33,33,1
((a|ε)(a(a*))),33,33,1
((((a|(b|(b|(a*))))*)a)|ε),35,35,1
(b(b(((b((bb)|ε))|(b(a|ε)))*))),33,33,1
((a|ε)(b((a|(b|b))(b*)))),33,33,1
(((b*)(b((b|ε)(b|b))))*),35,35,1
(((b*)|(b*)|(((b|ε)(a*))*))|ε),77,77,2
(((((a|b)b)|ε)(a(a|ε)))*),35,35,1
(((b|ε)((b|b)*))|ε),73,73,2
((a|ε)(((a((b|ε)a))*)a)),170,170,3
(((b|(a|(b|a)))(b|ε))|ε),33,33,1
((a|ε)(b((a|b)((b(b*))|ε)))),33,33,1
(((b*)(b((b|ε)(b|a))))*),98,98,2
(((b*)|(b*)|(((b|b)a)*))|ε),35,35,1
((b(((a*)b)|ε))|ε),33,33,1
(b(((a|(a*))|ε)(aa))),33,33,1
((((a|(a*))|ε)((ab)*))|ε),118,118,2
((b|ε)(((b|b)*)(b*))),73,73,2
(((b*)((b|b)((b*)((a|b)|ε))))*),77,77,2
(((b|ε)((a|ε)(b|a)))*),35,35,1
((a|ε)(((b(a*))|ε)(a(b|ε)))),33,33,1
((((b|ε)(ba))*)b),87,87,2
(((b|(b|b))a)|ε),33,33,1
(((a|(b|a))|ε)(aa)),33,33,1
(((b*)((b|a)((b|a)a)))*),146,146,2
(((b|(b|a))(b*))|ε),77,77,2
(((a|(b|a))(a|a))|ε),33,33,1
(b(((a|(b|b))|ε)(b|a))),33,33,1
(((b|ε)((a*)(a((a|ε)a))))*),35,35,1
((((a|(a*))|ε)(b|(b|a)))|ε),76,76,2
(((a*)((a*)(b(a|ε))))*),162,162,3
((((b|(a|b))|ε)(b*))|ε),77,77,2
((b|(b*)|((a|b)*))|ε),33,33,1
((((a|(a*)|(b*))|ε)(b|ε))|ε),167,167,3
(((((b*)|((ba)*))|ε)((b*)a))*),35,35,1
(((b*)((b|a)((a|a)(a*))))*),167,167,3
((((a|(b|b))|ε)(b*))|ε),77,77,2
(((((b*)|((b(a|ε))*))|ε)(((b|a)*)(b|ε)))*),35,35,1
(((b|(b|(b|(a|(b|b)))))b)|ε),33,33,1
((b|ε)((b*)b)),33,33,1
((a*)(b|(b|a))),76,76,2
(b|((ba)*)|(a*)),76,76,2
((((a|b)((a|ε)(a*)))*)(a*)),202,202,3
(((b*)((((b|a)a)|ε)(aa)))*),185,185,2
(((b|a)((b|(a|(b*)))|ε))|ε),76,76,2
(((b|b)(b|(aa)))|ε),33,33,1
((((((b|ε)(b|ε))*)|(a*))|ε)b),133,133,2
((b|((a|(a|(b|b)))*))|ε),33,33,1
(((b|(a|((b|ε)(a|ε))))a)|ε),33,33,1
(b(a(b|(a|a)))),33,33,1
(b((b|(a|(b|a)))(a*))),33,33,1
(((b*)((b|a)((b|a)b)))*),147,147,2
(((((b*)|(((b*)|(a*))*))|ε)(a|ε))|ε),35,35,1
(b((b*)(bb))),33,33,1
(((b|b)((b*)a))|ε),33,33,1
((a|ε)((b*)((b|b)*))),76,76,2
((b|ε)((b*)(b(a|b)))),33,33,1
(b((a|(a|(a|a)))(((b|a)*)a))),184,184,3
(((ba)|((a|((b(a|ε))*))*))|ε),80,80,2
(((b|ε)((a*)(a((a|ε)(b*)))))*),35,35,1
(b((a|(a|b))|ε)),33,33,1
((a*)((a*)(aa))),33,33,1
((((b|ε)(a*))*)(b*)),77,77,2
((a|ε)((b|(a|a))(b|ε))),33,33,1
((b|ε)(((aa)*)(a|ε))),33,33,1
(((a|ε)(b((b(a|ε))*)))*),83,83,2
((((b*)|((b|(b|a))*))b)|ε),35,35,1
(b(((b|a)|ε)(aa))),33,33,1
((((b*)|(b*))(((b|ε)(a|ε))|ε))|ε),33,33,1
(b(((b|(b|a))*)(b(a|ε)))),219,219,3
((a|ε)((a|ε)((a|ε)(aa)))),33,33,1
((b|((b|b)a))*),77,77,2
((b*)(b(bb))),33,33,1
((b|ε)((b*)(ba))),33,33,1
(b((a|a)((a|ε)((b*)(b*))))),33,33,1
(((b*)|((a|(a|(b(a|ε))))*))|ε),198,198,3
((((b*)|(a*))(a|ε))|ε),163,163,3
(b((b|(b|b))*)),73,73,2
(b((b|(a|a))|ε)),33,33,1
((b|ε)(a|(b|(a|a)))),33,33,1
((b|ε)((b*)(b(a|a)))),33,33,1
(((b*)((b|b)((b|ε)(b|b))))*),35,35,1
(((a|(b|a))|ε)(ba)),33,33,1
